Notebook Dell,2500.00,4
Smartwatch Fitbit,499.99,2
Headphones Sony,199.99,5
Monitor 4K LG,1200.00,3
Teclado Mecânico,320.00,6
Cadeira Gamer RGB,600.50,2
Geladeira Inox,4200.00,1
Micro-ondas Electrolux,899.90,2
Drone DJI Mini 3,2999.00,1
Home Theater,1550.50,1
Notebook HP,2700.00,5
Smartwatch Apple,999.99,3
Headphones JBL,150.00,10
Monitor Full HD Samsung,850.00,4
Teclado RGB Corsair,500.00,3
Cadeira Office Ergonômica,750.00,2
Geladeira Duplex,3500.00,1
Micro-ondas LG,799.90,1
Drone DJI Mini SE,1999.00,2
Home Theater Philips,1300.00,2
Notebook Asus,3000.00,4
Smartwatch Garmin,599.99,2
Headphones Bose,250.00,4
Monitor Ultrawide LG,1400.00,2
Teclado Sem Fio Logitech,200.00,7
Cadeira Gamer Reclinável,850.50,1
Geladeira Brastemp,4000.00,1
Micro-ondas Panasonic,999.90,1
Drone Parrot Anafi,2500.00,1
Home Theater LG,1600.50,1
Notebook Lenovo,2200.00,3
Smartwatch Samsung,899.99,2
Headphones HyperX,199.00,6
Monitor Curvo Samsung,1200.00,3
Teclado Gamer Razer,550.00,2
Cadeira Gamer Extreme,900.00,1
Geladeira Samsung Frost Free,4500.00,1
Micro-ondas Brastemp,899.00,1
Drone DJI Air 2S,5999.00,1
Home Theater Sony,2000.00,1
Notebook Acer,2800.00,5
Smartwatch Xiaomi,299.99,3
Headphones AKG,149.99,4
Monitor 5K Apple,5000.00,1
Teclado Compacto Logitech,150.00,8
Cadeira Gamer Deluxe,1000.50,1
Geladeira Side by Side,7000.00,1
Micro-ondas Consul,699.90,1
Drone DJI Phantom 4,4500.00,1
Home Theater Samsung,1800.00,1
Notebook Vaio,3200.00,2
Smartwatch Huawei,499.99,2
Headphones Panasonic,179.99,5
Monitor Gamer LG,2000.00,3
Teclado Mecânico Asus,400.00,5
Cadeira Gamer Premium,1200.00,1
Geladeira Retro,5200.00,1
Micro-ondas Philco,799.90,2
Drone Autel Evo,7000.00,1
Home Theater Bose,3000.00,1
Notebook MSI,4000.00,2
Smartwatch Amazfit,299.99,2
Headphones Sennheiser,299.99,3
Monitor IPS LG,900.00,2
Teclado Gamer SteelSeries,600.00,1
Cadeira Gamer Compacta,700.00,2
Geladeira de Vinho,8000.00,1
Micro-ondas Continental,499.90,2
Drone Skydio 2,8000.00,1
Home Theater JBL,2500.00,1
Notebook Samsung,2500.00,3
Smartwatch Fitbit Luxe,399.99,2
Headphones Beats,400.00,2
Monitor OLED LG,3000.00,1
Teclado Ergonômico Microsoft,300.00,4
Cadeira Gamer Simples,500.00,3
Geladeira Industrial,15000.00,1
Micro-ondas Sharp,999.90,1
Drone PowerVision,10000.00,1
Home Theater Onkyo,4000.00,1
Notebook MacBook Pro,10000.00,1
Smartwatch Suunto,599.99,1
Headphones Audio-Technica,350.00,2
Monitor AOC,800.00,4
Teclado Bluetooth Logitech,180.00,6
Cadeira Gamer Econômica,600.00,4
Geladeira Inteligente LG,12000.00,1
Micro-ondas Electrolux Grill,1299.90,1
Drone Eachine,700.00,3
Home Theater Yamaha,5000.00,1
Notebook Alienware,9000.00,1
Smartwatch Zepp,299.99,2
Headphones Skullcandy,250.00,4
Monitor Samsung FHD,750.00,3
Teclado Simples,100.00,8
Cadeira Gamer Luxo,1500.00,1
